"make","model","year"
"Honda","PS 125i Sporty",2008
"Kawasaki","KX125",2009
"Kawasaki","ZZR 600",2009
"Suzuki","Boulevard C50T",2009
"Suzuki","GSX 1400 Special Edition",2008
"Suzuki","GSF1250S Bandit ABS",2009
"Honda","SH 150i Sport",2008
"Kawasaki","1400 GTR",2008
"Kawasaki","Ninja 650R",2008
"Honda","Zoomer",2008
"Suzuki","V-Strom 650X",2009
"Kawasaki","KLX 140",2009
"Suzuki","Intruder M800Z",2009
"Ducati","Streetfighter S",2009
"Suzuki","Boulevard C109R",2009
"Kawasaki","Ninja ZX-6R Monster Energy",2009
"Ducati","Superbike 1098 R",2008
"Suzuki","Boulevard C90 Black",2008
"Suzuki","GSF1250S Bandit",2009
"Ducati","Multistrada 1100",2009
"Honda","Interceptor",2009
"Honda","CBF600S",2009
"Suzuki","Boulevard S50",2009
"Kawasaki","KX450F",2009
"Ducati","Superbike 1198 S",2009
"Kawasaki","Vulcan 1600 Nomad",2009
"Kawasaki","Concours 14",2008
"Honda","NXR Bros",2008
"Kawasaki","Vulcan 1700 Classic LT",2009
"Suzuki","QuadRacer R450 Limited Edition",2009
"Suzuki","GS500F",2008
"Suzuki","RM-Z250",2008
"Suzuki","QuadSport Z400 Limited",2009
"Kawasaki","Ninja ZX-6R",2008
"Suzuki","DR650SE",2009
"Honda","CRF 230 F",2008
"Ducati","Superbike 1098 S",2008
"Suzuki","GSR 400 ABS",2008
"Honda","Varadero 125",2009
"Kawasaki","Vulcan 2000 Classic",2009
"Suzuki","KingQuad 450AXi",2009
"Ducati","Multistrada 1100 S",2008
"Honda","XR 650 L",2008
"Kawasaki","KLX300R",2008
"Kawasaki","Ninja ZX-10R",2008
"Suzuki","V-Strom 1000",2008
"Honda","CRF70F",2009
"Honda","CB 1300",2008
"Honda","VT750DC Shadow Spirit",2009
"Honda","Gold Wing Audio Comfort Navi",2008
"Honda","CRF 80 F",2008
"Suzuki","Burgman 650AZ",2009
"Honda","VFR 800 Interceptor ABS",2008
"Kawasaki","Vulcan 1600 Classic",2008
"Kawasaki","ER-6n",2008
"Ducati","Monster S4R S Tricolore",2008
"Honda","CRF230M",2009
"Kawasaki","Vulcan 500 LTD",2009
"Ducati","Desmosedici RR",2008
"Honda","CRF 450 R",2008
"Honda","Gold Wing Airbag",2008
