"use_sample","category","name","needs_detail","needs_quantity","detail","quantity","quantity_unit","link_for_sale","sub_category","sub_name","sub_needs_detail","sub_needs_quantity","sub_detail","sub_quantity","sub_quantity_unit","sub_link_for_sale"
"TRUE","Tool","Torque Wrench","TRUE","FALSE","42 nm",,,,,,,,,,,
"TRUE","Tool","Ratchet","FALSE","FALSE",,,,,,,,,,,,
"TRUE","Tool","Socket","TRUE","FALSE","21mm",,,,,,,,,,,
"TRUE","Tool","Allen Wrench","TRUE","FALSE","10mm",,,,,,,,,,,
"TRUE","Tool","Filter Pliers","FALSE","FALSE",,,,,"Tool","Strap Wrench","FALSE","FALSE",,,,"http://www.amazon.com/s/?_encoding=UTF8&camp=1789&creative=390957&field-keywords=strap%20wrench&linkCode=ur2&rh=i%3Aaps%2Ck%3Astrap%20wrench&sprefix=strap%20w%2Caps&tag=maintenanceto-20&url=search-alias%3Daps&linkId=VZ663OP6VRWLT6D4"
"TRUE","Tool","Motorcycle Lift","FALSE","FALSE",,,,,"Tool","Motorcycle Stand","FALSE","FALSE",,,,"http://www.amazon.com/s/?_encoding=UTF8&camp=1789&creative=390957&field-keywords=motorcycle%20stand&linkCode=ur2&rh=i%3Aaps%2Ck%3Amotorcycle%20stand&tag=maintenanceto-20&url=search-alias%3Daps&linkId=FFPT4IIYWQ5PN6VF"
"TRUE","Supply","Motor Oil","TRUE","TRUE","10W-40",3,"Qts",,,,,,,,,
"TRUE","Supply","Oil Filter","FALSE","FALSE",,,,,,,,,,,,
"TRUE","Supply","Crush Washers","FALSE","TRUE",,2,,"http://www.monsterparts.com/p/22032083A/Ducati+Drain+Plug+Crush+Washer.html",,,,,,,,
"TRUE","Supply","Oil Rags","FALSE","FALSE",,,,,,,,,,,,
"TRUE","Tool","Oil Pan","FALSE","FALSE",,,,,,,,,,,,
"TRUE","Tool","Funnel","FALSE","FALSE",,,,,,,,,,,,
,"Tool","Torque Wrench","TRUE","FALSE",,,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE",,,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","1mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","2mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","3mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","4mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","5mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","6mm",,,,,,,,,,,
,"Tool","Socket","TRUE","FALSE","7mm",,,,,,,,,,,
,"Tool","Allen Wrench","TRUE","FALSE",,,,,,,,,,,,
,"Supply","Motor Oil","TRUE","TRUE",,,,,,,,,,,,
