"name","action","item","description","popularity_int","interval_miles","interval_months","first_service_miles","interval_text","needs_tools"
"Change Engine Oil & Filter","Change","Engine Oil & Filter","Change the engine oil and replace oil filter.",0,2500,,,,
"Replace Engine Oil Filter","Replace","Engine Oil Filter",,0,5000,,,,
"Change Engine Oil","Change","Engine Oil",,0,2500,,,,
"Check Engine Oil","Check","Engine Oil","Check engine oil level.",0,,,,"Periodically",
"Replace Air Filter","Replace","Air Filter","Replace the air filter",0,7500,,,,
"Check Oil Pressure","Check","Oil Pressure","Check oil pressure.",0,,,,"Periodically",
"Adjust Valves","Adjust","Valves","Adjust valve clearances",0,,,,"When necessary",
"Check Valves","Check","Valves","Check valve clearances.",0,,,,,
"Check Timing Belt","Check","Timing Belt","Check tension on timing belt(s).",1,,,,,
"Change Timing Belt","Change","Timing Belt","Replace worn timing belt.",2,,,,,
"Check Spark Plugs","Check","Spark Plugs","Check wear on spark plugs.",2,,,,,
"Replace Spark Plugs","Replace","Spark Plugs","Replace worn spark plugs.",2,,,,,
"Check Throttle Body","Check","Throttle Body","Inspect throttle body synchronization and idle speed setting",3,,,,,
"Check Brake Fluid","Check","Brake Fluid","Inspect brake fluid.",2,,,,,
"Check Clutch Fluid","Check","Clutch Fluid","Inspect clutch fluid.",2,,,,,
"Change Brake Fluid","Change","Brake Fluid","Replace brake fluid.",3,,,,,
"Change Clutch Fluid","Change","Clutch Fluid","Replace clutch fluid.",3,,,,,
"Check Brake Pads","Check","Brake Pads","Inspect brake pads for wear.",1,,,,,
"Replace Brake Pads","Replace","Brake Pads","Replace worn brake pads.",2,,,,,
"Check Battery","Check","Battery","Check the charge on battery.",2,,,,,
"Recharge Battery","Recharge","Battery","Recharge battery with trickle charger.",0,,,,,
"Top Off Battery Fluid","Top Off","Battery Fluid","Top off batteries that require fluid",1,,,,,
"Replace Battery","Replace","Battery",,1,,,,,
"Check Idle Speed","Check","Idle Speed",,1,,,,,
"Check Idle Speed","Check","Idle Speed",,1,,,,,
"Check Drive Chain","Check","Drive Chain",,1,,,,,
"Lube Drive Chain","Lube","Drive Chain",,1,,,,,
"Change Drive Chain","Change","Drive Chain",,1,,,,,
"Check Drive Shaft","Check","Drive Shaft",,1,,,,,
"Lube Drive Shaft","Lube","Drive Shaft",,1,,,,,
"Change Drive Shaft","Change","Drive Shaft",,1,,,,,
"Check Tires","Check","Tires",,1,,,,,
"Check Wheels","Check","Wheels",,1,,,,,
"Replace Tires","Replace","Tires",,1,,,,,
"Replace Wheels","Replace","Wheels",,1,,,,,
"Check Steering Play","Check","Steering Play",,1,,,,,
"Adjust Steering Play","Adjust","Steering Play",,1,,,,,
"Check Wheel Bearings","Check","Wheel Bearings",,1,,,,,
"Grease Wheel Bearings","Grease","Wheel Bearings",,1,,,,,
"Tighten Engine Mounts","Tighten","Engine Mounts",,1,,,,,
"Tighten Chassis Bolts","Tighten","Chassis Bolts",,1,,,,,
"Check Throttle Cable","Check","Throttle Cable",,1,,,,,
"Check Clutch Cable","Check","Clutch Cable",,1,,,,,
"Check Brake Cable","Check","Brake Cable",,1,,,,,
"Adjust Throttle Cable","Adjust","Throttle Cable",,1,,,,,
"Adjust Clutch Cable","Adjust","Clutch Cable",,1,,,,,
"Adjust Brake Cable","Adjust","Brake Cable",,1,,,,,
"Lube Kick Stand","Lube","Kick Stand",,1,,,,,
"Lube Center Stand","Lube","Center Stand",,1,,,,,
"Check Headlight","Check","Headlight","Inspect focus and brightness.",1,,,,,
"Replace Headlight","Replace","Headlight",,1,,,,,
"Check Fuel Hose","Check","Fuel Hose",,1,,,,,
"Replace Fuel Hose","Replace","Fuel Hose",,1,,,,,
"Check Rear Suspension","Check","Rear Suspension",,1,,,,,
"Adjust Rear Suspension","Adjust","Rear Suspension",,1,,,,,
"Replace Rear Suspension","Replace","Rear Suspension",,1,,,,,
"Check Brake Hose","Check","Brake Hose",,1,,,,,
"Replace Brake Hose","Replace","Brake Hose",,1,,,,,
